full_names	species	clades	nb_rnaseq
Onychostruthus_taczanowskii	Onychostruthus_taczanowskii	Onychostruthus taczanowskii	Aves	11
Ophiophagus_hannah	Ophiophagus_hannah	Ophiophagus hannah	Other Vertebrates	4
Orbicella_faveolata	Orbicella_faveolata	Orbicella faveolata	Other Invertebrates	50
Ornithorhynchus_anatinus	Ornithorhynchus_anatinus	Ornithorhynchus anatinus	Mammalia	6
Orussus_abietinus	Orussus_abietinus	Orussus abietinus	Hymenoptera	2
Oryctolagus_cuniculus	Oryctolagus_cuniculus	Oryctolagus cuniculus	Mammalia	338
Oryza_brachyantha	Oryza_brachyantha	Oryza brachyantha	Embryophyta	5
Oryza_sativa	Oryza_sativa	Oryza sativa	Embryophyta	50
Osmia_bicornis	Osmia_bicornis	Osmia bicornis	Hymenoptera	19
Osmia_lignaria	Osmia_lignaria	Osmia lignaria	Hymenoptera	41
Ovis_aries	Ovis_aries	Ovis aries	Mammalia	37
Owenia_fusiformis	Owenia_fusiformis	Owenia fusiformis	Other Invertebrates	48
Oxyura_jamaicensis	Oxyura_jamaicensis	Oxyura jamaicensis	Aves	46
Pan_troglodytes	Pan_troglodytes	Pan troglodytes	Mammalia	29
Panicum_hallii	Panicum_hallii	Panicum hallii	Embryophyta	50
Panicum_virgatum	Panicum_virgatum	Panicum virgatum	Embryophyta	50
Panthera_leo	Panthera_leo	Panthera leo	Mammalia	7
